Time,Delhi,BRPL,BYPL,NDPL,NDMC,MES
01/09/2023 05:55,4719.340,2079.800,1026.480,1374.850,159.540,31.910
01/09/2023 06:00,4715.140,2066.270,1047.920,1363.650,160.120,32.200
01/09/2023 06:05,4707.990,2063.530,1040.430,1368.420,159.560,32.410
01/09/2023 06:10,4687.670,2042.900,1050.820,1357.340,161.400,32.320
01/09/2023 06:15,4711.290,2079.900,1041.980,1351.490,162.510,32.270
01/09/2023 06:20,4689.510,2045.370,1059.640,1344.380,164.680,32.130
01/09/2023 06:25,4710.330,2058.700,1049.080,1362.030,165.150,31.840
01/09/2023 06:30,4660.190,2002.050,1058.750,1355.980,168.520,32.000
01/09/2023 06:35,4685.970,2028.370,1051.080,1354.600,170.640,31.930
01/09/2023 06:40,4668.360,2018.590,1059.460,1337.210,173.950,32.100
01/09/2023 06:45,4672.760,2024.160,1039.640,1354.350,174.960,32.110
01/09/2023 06:50,4694.580,2013.880,1073.510,1356.210,175.630,31.940
01/09/2023 06:55,4631.260,2015.260,1029.480,1334.510,176.390,32.240
01/09/2023 07:00,4618.110,1994.610,1050.270,1321.390,177.510,32.500
01/09/2023 07:05,4658.480,2015.920,1045.830,1339.060,178.790,32.860
01/09/2023 07:10,4641.650,2017.430,1044.890,1319.630,183.060,32.940
01/09/2023 07:15,4622.210,2000.610,1038.550,1323.220,185.040,33.030
01/09/2023 07:20,4641.730,2017.720,1021.840,1334.680,189.860,32.910
01/09/2023 07:25,4582.020,1959.660,1039.420,1314.910,191.530,32.910
01/09/2023 07:30,4495.460,1941.170,999.800,1283.550,194.790,33.440
01/09/2023 07:35,4619.330,2003.930,1028.560,1314.590,197.000,33.780
01/09/2023 07:40,4581.200,1969.210,1012.630,1321.040,200.410,34.370
01/09/2023 07:45,4579.060,1960.150,1018.720,1312.340,205.340,34.730
01/09/2023 07:50,4616.340,1974.700,1034.960,1319.660,209.040,35.250
01/09/2023 07:55,4602.440,1987.930,997.980,1322.930,214.170,35.630
01/09/2023 08:00,4605.930,1987.130,993.310,1323.920,218.940,36.370
01/09/2023 08:05,4583.650,1977.300,1000.450,1299.930,222.990,36.730
01/09/2023 08:10,4645.590,1986.610,1011.440,1336.120,229.840,37.460
01/09/2023 08:15,4640.930,2007.800,988.460,1331.210,233.110,38.020
01/09/2023 08:20,4652.690,2003.610,985.560,1341.510,239.600,38.310
01/09/2023 08:25,4710.900,2032.150,991.920,1359.530,242.850,39.010
01/09/2023 08:30,4710.900,2054.340,972.450,1342.830,250.080,39.630
01/09/2023 08:35,4721.180,2039.170,996.580,1349.150,254.820,40.150
01/09/2023 08:40,4736.740,2053.340,984.010,1352.970,260.160,40.640
01/09/2023 08:45,4738.250,2063.280,979.260,1335.100,264.940,41.210
01/09/2023 08:50,4748.630,2014.530,1007.470,1367.590,272.310,41.630
01/09/2023 08:55,4799.640,2090.820,1006.870,1340.290,275.910,41.850
01/09/2023 09:00,4827.340,2094.520,990.620,1376.120,280.040,42.290
01/09/2023 09:05,4887.040,2084.670,1030.350,1397.100,286.820,42.710
01/09/2023 09:10,4940.040,2107.860,1019.190,1433.280,290.000,42.900
01/09/2023 09:15,5024.170,2139.210,1059.100,1444.180,297.440,42.990
01/09/2023 09:20,5091.470,2155.170,1041.630,1493.200,301.310,42.850
01/09/2023 09:25,5147.830,2159.710,1085.890,1491.300,309.570,43.720
01/09/2023 09:30,5205.230,2184.140,1071.030,1540.520,314.750,44.020
01/09/2023 09:35,5262.050,2236.500,1057.740,1548.740,317.810,44.190
01/09/2023 09:40,5334.060,2229.010,1103.200,1587.640,321.770,44.480
01/09/2023 09:45,5385.120,2260.720,1109.540,1593.460,325.650,44.760
01/09/2023 09:50,5385.480,2256.050,1095.900,1606.440,331.610,45.140
01/09/2023 09:55,5424.140,2249.970,1112.100,1624.740,334.430,44.940
01/09/2023 10:00,5490.910,2284.730,1120.160,1652.440,336.020,45.340
01/09/2023 10:05,5499.870,2278.740,1127.960,1656.050,339.250,45.420
01/09/2023 10:10,5577.820,2343.440,1126.050,1670.080,339.580,45.480
01/09/2023 10:15,5614.430,2312.820,1184.420,1670.750,341.570,45.390
01/09/2023 10:20,5681.510,2368.260,1177.310,1687.900,346.690,45.330
01/09/2023 10:25,5691.790,2372.430,1195.500,1683.380,346.790,45.430
01/09/2023 10:30,5704.720,2383.340,1165.040,1708.980,349.290,45.380
01/09/2023 10:35,5730.700,2379.420,1192.440,1708.860,349.020,45.120
01/09/2023 10:40,5754.620,2374.250,1191.150,1734.540,350.240,45.140
01/09/2023 10:45,5780.230,2396.780,1213.560,1718.870,350.860,45.550
01/09/2023 10:50,5796.000,2395.360,1198.820,1742.620,351.760,45.210
01/09/2023 10:55,5805.430,2393.360,1181.350,1785.980,351.190,45.470
01/09/2023 11:00,5841.750,2438.310,1209.160,1743.490,352.300,45.410
01/09/2023 11:05,5845.780,2405.750,1220.470,1765.420,352.880,45.350
01/09/2023 11:10,5859.750,2435.390,1219.350,1751.960,352.190,45.350
01/09/2023 11:15,5865.870,2423.180,1239.060,1747.780,352.960,45.350
01/09/2023 11:20,5876.560,2443.690,1212.770,1766.540,352.340,45.430
01/09/2023 11:25,5874.890,2419.840,1241.810,1764.920,348.390,45.440
