Time,Delhi,BRPL,BYPL,NDPL,NDMC,MES
2023-09-01,5728.971142857143,2458.1100714285712,1238.2867142857144,1684.0851071428572,255.75567857142855,38.037214285714285
2023-09-02,5587.428279569893,2421.4196057347667,1235.3148387096776,1614.6459139784947,228.3510752688172,34.69376344086022
2023-09-03,5279.81394265233,2268.805089605735,1157.6113620071685,1566.118853046595,205.64824372759855,31.20931899641577
2023-09-04,5640.9783157894735,2418.741192982456,1203.9973684210527,1666.2281754385965,260.29575438596487,37.70701754385965
2023-09-05,5831.372652329749,2508.3758781362008,1239.1847311827955,1726.1158064516128,263.2895698924731,38.61437275985663
2023-09-06,5748.323107142857,2438.5707857142856,1237.8540357142858,1717.828107142857,261.3645714285714,38.041357142857144
2023-09-07,5363.639254901961,2301.8399215686277,1148.0774901960785,1604.0166274509804,226.8646274509804,31.781058823529413
2023-09-08,5272.602740213523,2245.603309608541,1149.3541637010676,1618.265017793594,178.62786476868328,30.583736654804273
2023-09-09,4679.397046263345,2010.752455516014,1032.990355871886,1409.8391459074733,153.80491103202846,27.58896797153025
2023-09-10,3993.5887096774195,1698.971182795699,857.9563082437276,1236.6103225806453,137.99849462365592,24.019354838709678
2023-09-11,4470.002035087719,1904.7124561403512,931.5485614035089,1354.3506315789473,206.08473684210526,30.73298245614035
2023-09-12,4818.083620071685,2034.1248028673833,1020.4284229390682,1470.3033333333333,214.69774193548386,32.616021505376345
2023-09-13,5272.682464788732,2229.433133802817,1164.2026056338027,1566.8255985915491,227.34897887323945,35.09475352112676
2023-09-14,5713.444895104895,2431.044230769231,1257.19,1694.4817482517483,239.06244755244757,38.068741258741255
2023-09-15,5457.324421052632,2331.336701754386,1187.5874385964912,1622.8497543859648,228.3877894736842,36.264842105263156
2023-09-16,5017.537288732395,2174.3532394366193,1107.1658450704224,1448.728943661972,207.40619718309858,31.829753521126758
2023-09-17,4497.92083916084,1933.919335664336,977.3147552447554,1328.5143006993007,188.22562937062938,27.545804195804198
2023-09-18,4821.175505226482,2035.5698257839722,1040.7030662020907,1427.6091986062718,239.51306620209058,32.68498257839721
2023-09-19,5179.029477351916,2188.461254355401,1108.0606271777003,1551.2239024390244,247.71979094076656,34.591045296167245
2023-09-20,5437.603929824561,2316.083859649123,1179.5664210526315,1601.0577894736841,252.9741403508772,36.06901754385965
2023-09-21,5638.335857142857,2409.887357142857,1227.7906071428572,1658.1969285714285,251.65289285714286,37.15257142857143
2023-09-22,5657.423859649123,2397.1558245614037,1243.190947368421,1673.0299298245616,252.70326315789475,37.53540350877193
2023-09-23,5170.238536585366,2220.8748780487804,1150.1939721254355,1508.570731707317,209.2498257839721,32.05344947735192
2023-09-24,4627.782746478873,1979.5954577464788,1007.5513028169014,1391.3751408450703,177.7101056338028,27.596091549295775
2023-09-25,4918.973087719299,2113.7727719298246,1028.7618245614035,1480.1342807017545,216.3497543859649,33.240842105263155
2023-09-26,4926.071683168317,2132.483316831683,1060.455099009901,1437.6046039603962,214.32861386138612,34.16881188118812
2023-09-27,5003.096855123675,2141.0001413427563,1098.266855123675,1463.4644169611306,219.90219081272085,32.70883392226148
2023-09-28,4674.560821428571,1988.9881071428572,1005.379,1423.8945,185.87882142857143,26.122035714285715
2023-09-29,4765.203251748251,1988.4267482517484,1040.830874125874,1442.0726223776223,217.987972027972,30.635174825174825
2023-09-30,4626.837785714286,1995.8728571428571,1028.4804285714285,1331.0487142857144,199.66882142857142,27.68585714285714
2023-10-01,4254.8027598566305,1787.6310394265233,939.1510035842294,1299.4621505376344,163.52444444444444,24.920035842293906
2023-10-02,3698.3090714285718,1632.9550714285713,815.0668571428572,1042.5231785714286,149.76725000000002,22.740250000000003
2023-10-03,4092.6307291666662,1712.796701388889,872.7988194444445,1247.629375,194.09760416666666,26.469756944444445
2023-10-04,4212.620989399294,1740.1672084805655,916.3918374558305,1295.318586572438,194.1744522968198,26.694664310954064
2023-10-05,4209.183415492958,1728.4466549295773,914.3875352112676,1304.9441197183098,194.84968309859156,26.383908450704226
2023-10-06,4261.964475524476,1751.7688111888112,928.4961888111887,1317.9776923076922,196.73146853146852,26.653076923076924
2023-10-07,4296.222882562277,1817.8505338078292,968.7971886120997,1271.63256227758,171.4187900355872,25.634982206405695
2023-10-08,4363.791067615659,1840.4788612099644,976.92384341637,1322.4616014234875,157.7627046263345,24.80174377224199
2023-10-09,4818.959335664336,2039.1264685314686,1029.7892307692307,1459.9353146853148,213.51828671328673,30.82555944055944
2023-10-10,4790.6874647887325,2011.8824647887325,1025.0296830985915,1463.7143309859155,214.07598591549296,30.453485915492962
2023-10-11,4517.849107142857,1870.9622857142858,988.6597499999999,1383.1281428571428,203.31867857142856,28.616964285714285
2023-10-12,4260.410769230769,1752.5587412587413,928.5216083916083,1315.4217832167833,196.0813286713287,27.150454545454544
2023-10-13,4348.885759717315,1800.2102120141342,946.027738515901,1336.1490459363956,198.10197879858657,27.33183745583039
2023-10-14,4268.269107142857,1823.2044642857143,953.568392857143,1255.78775,169.7979642857143,25.019785714285714
2023-10-15,4002.4253710247344,1685.0305653710247,898.5928268551237,1211.0218374558303,146.8092932862191,22.42547703180212
2023-10-16,3947.950801393728,1642.7562020905925,849.8080487804879,1211.1682578397213,181.5864111498258,25.333379790940768
2023-10-17,3418.588327526132,1385.4410104529618,726.8747735191638,1090.9395470383276,160.6327526132404,22.11857142857143
2023-10-18,3375.822241992883,1366.955302491103,731.5451245551601,1064.4834163701069,159.03953736654805,21.59896797153025
